category,question ,answer,bonus,final_trivia,double_jeopardy
History,Who was the 13th President of the United States of America?,Millard Fillmore,,,
History,"What nation switched sides in World War II on September 8, 1943?",Italy,,,
History,In which country was the Rosetta Stone found?,Egypt,,,
History,How did Al Capone die?,Syphilis,,,
History,"Who was the first man to reach the South Pole on Dec. 14, 1911?",Roald Amundsen,,,
History,"In the first Punic War, Rome and Carthage fought over possession of what Mediterranean island?",Sicily,,,
History,The Declaration of Independence was adopted in the east wing of what building?,Independence Hall,,,
History,"On October 7, 1985, what Italian cruise ship was hijacked by four men representing the Palestine Liberation Front off the coast of Egypt? The hijacking led to the Sigonella crisis and an armed standoff between US and Italian armed forces.",Achille Lauro Highjacking,TRUE,,
Food & Beverage,"What is the literal translation of the word ""tofu""?",Bean Curd,,,
Food & Beverage,What is the name of a wine barrel that contains 10 gallons of wine?,Anker,,,
Food & Beverage,"What brand of whiskey is made in Lynchburg, Tennessee?",Jack Daniels,,,
Food & Beverage,What two fruits can calvados be made from? Brandy from France,Pear/apples,,,
Food & Beverage,"According to popular wisdom, you should only eat oysters in months whose names contain which letter?",R,,,
Food & Beverage,"What is meant by the cooking term ""farci""?",Stuffed,,,
Food & Beverage,How many ounces is a jigger of alcohol?,1.5 ounces,,,
Food & Beverage,"What spiced wine is traditionally consumed during the winter months, and especially around Christmas?",Mulled Wine,TRUE,,
Not So Common Sense,Beijing Capital International Airport has been the second busiest airport in the world. What is the three letter IATA airport code for this airport? It is based on the city's former romanized name.,PEK,,,
Not So Common Sense,What is the first prime number that comes after 100?,101,,,
Not So Common Sense,What color does the bride commonly wear in China?,Red,,,
Not So Common Sense,"How many time zones are spanned by Russia? 7, 9, 11",11,,,
Not So Common Sense,Three gold balls are a universal symbol for what type of business?,Pawn Shop,,,
Not So Common Sense,What does the abbreviation HTML stand for?,HyperText Markup Language,,,
Not So Common Sense,"What Roman goddess of the hunt, the moon, and nature, associated with wild animals and woodlands, is also known as the virgin goddess of childbirth and women? She is the daughter of Jupiter and Latona, and the twin sister of Apollo.",Artemis,,,
Not So Common Sense,"Designed by Steve Jobs and Ronald Wayne in 1976, the original logo for Apple features what scientist and author who wrote ""Philosophiæ Naturalis Principia Mathematica"", first published in 1687?",Isaac Newton,TRUE,,
Geography,"By population, what county of nearly 2.7 million people is the most populous county in New York State and 8th most populous county in the United States? It is also the second densest county, and is among the fastest growing counties, in the country.",Brooklyn,,TRUE,
History,"Determine and rank the following in order of who was born first to who was born last; Genghus Khan, Alexander the Great, Julius Cesaer.","Alexander the Great (356-323BC), Julius Cesear (100-44BC), Ghengis Khan (1162-1227)",,TRUE,
Art & Literature,"""Ironweed"", the 1984 winner of the Pulitzer Prize for Fiction, is a 1983 novel by what American author whose works also include ""The Ink Truck"" (1969), ""Roscoe"" (2002) and ""Changó's Beads and Two-Tone Shoes"" (2011)?",William Kennedy,,TRUE,
History,In the 1960s Dr. Christiaan Barnard performed the first successful human _______transplant?,Heart,,,
History,Henry VIII was a member of what dynastic house of the English monarchy?,Tudor,,,
History,In which country was the Rosetta Stone found?,Egypt,,,
History,Who led the first expedition to sail around the world?,Ferdinand Magellen,,,
History,What famous European City is traditionally said to be built on 7 hills?,Rome,,,
History,Which state was the first to secede from The Union leading to the US civil war?,S. Carolina,,,
History,"What is the better-known name of the Island of Pelicans in SF Bay, which was home to California's first lighthouse?",Alcatraz,,,
History,Which two tools are depicted on the former Soviet Union's flag?,Hammer and Sickle,TRUE,,
Food & Beverage,The Shaddock is a variety of fruit from what fruit family? ,Citrus,,,
Food & Beverage,What garden vegetable was known for years as Italian squash?,Zucchini,,,
Food & Beverage,What kind of clay oven is used to make Indian dishes like naan and chicken tikka?,Tandoor,,,
Food & Beverage,What two ingredients make a Black Velvet cocktail?,Champagne and stout,,,
Food & Beverage,What is the name of a small barrel of beer of nine gallons capacity?,A Firkin,,,
Food & Beverage,What is the main ingredient in Borsch?,Beet Root,,,
Food & Beverage,What French Benedictine monk is credited with the invention of Champagne?,Dom Pérignon,,,
Not So Common Sense,"Where did the world's tallest bird, the giant moa, live until it went extinct around 1500?",New Zealand,,,
Not So Common Sense,How many colors were there in the first boxes of Crayola crayons sold in 1903,8,,,
Not So Common Sense,What is the front of a saddle called?,Pommel,,,
Not So Common Sense,What distance did the Romans once define as a thousand paces?,a mile ,,,
Not So Common Sense,The entrance to what New York City landmark has a pair of lion sculptures?,Public Library,,,
Not So Common Sense,"On a medical diploma, what does D.D.S. stand for?",Doctor of Dental Surgery,,,
Not So Common Sense,What is the more common name for an Apiarist?,Beekeeper,,,
Not So Common Sense,What is floating wreckage of a ship called?,Flotsam,TRUE,,
Geography,"What park, encompassing nearly 3.4 million acres between the Great Basin and Mojave deserts, is the largest national park in the lower 48 United States? It was established as a National Monument in 1933 and named a National Park in 1994.",Death Valley NP,,TRUE,
History,"In 1791, what military engineer, who served in the Continental Army during the American Revolutionary War, developed an urban plan for the city of Washington D.C.?",Pierre Charles L'Enfant,,TRUE,
Art & Literature,"""The Strange Case of Dr. Jekyll and Mr. Hyde"" is about a London lawyer named Gabriel John Utterson who investigates strange occurrences between his old friend and his multiple personalities. What are Dr. Jekyll and Mr. Hyde's first names?","Dr. Henry Jekyll, Mr. Edward Hyde",,TRUE,
History,"French Sudan was a French colonial territory in the federation of French West Africa from around 1880 until 1960, when it became what independent state? Today this country has nearly 20 million residents, a green, gold, and red flag, and its capital at Bamako.",Mali,,,
History,"What empire, which reached the height of its power during the 13th and 14th centuries, was the largest contiguous land empire in history?",Mongol Empire,,,
History,"Germany's World War I allies were Austria-Hungary, Bulgaria, and what other empire?",Ottoman Empire,,,
History,Who was president when Prohibition was imposed across the US?,Woodrow Wilson,,,
"History,Presidents",5Who shot President James Garfield?,Charles Guiteau,,,
History,"In the early 1800s most of the British Army was deployed in the Peninsular War, leading forces in North America into a defensive strategy during much of the War of 1812. On what peninsula was the British Army fighting?",Iberian Peninsula,,,
History,In what year was the Wall street Crash on Black Thursday?,1929,,,
History,"On December 1, 1936, as part of a publicity campaign, what did John David Sweeney, Jr., of New Rochelle, New York, become the first person in history to receive? Many others would soon follow in his footsteps.",First Social Security Card,TRUE,,
Food & Beverage,What addiction-inducing crop did Christopher Columbus discover in Cuba in 1492?,Tobacco,,,
Food & Beverage,What was the nationality of the settlers that introduced gingerbread houses to Canada in the 1700's?,German,,,
Food & Beverage,Where was Budweiser first brewed in the US?,St. Louis,,,
Food & Beverage,French Silk Pie is most commonly flavored with what?,Chocolate,,,
Food & Beverage,"What part of a pig is eaten as ""chitterlings""?",Intestines,,,
Food & Beverage,"In 2001, what surpassed tuna as America's most eaten seafood?",Shrimp,,,
Food & Beverage,What name is given to sweet chestnuts preserved in syrup?,Marron Glace,,,
Food & Beverage,What is traditionally hidden in a Mardi Gras king cake?,Small baby doll,TRUE,,
Not So Common Sense,"In fluid dynamics, what is the name of the principle that states an increase in the speed of a fluid occurs simultaneously with a decrease in pressure? This principle can be used to calculate the lift force on an airfoil, such as an aircraft wing.",Bernoulli's principle,,,
Not So Common Sense,What was the only nation to qualify for all 16 soccer World Cups in the 20th century?,Brazil,,,
Not So Common Sense,"What is ""military commander"" in Japanese?",Shogun,,,
Not So Common Sense,"In a P2P network, what does the ""P"" stand for?",Peer ,,,
Not So Common Sense,"What does ""alopecia"" refer to?",Hair loss,,,
Not So Common Sense,"In the standard game of Scrabble, which two letters have the highest values?",Q and Z,,,TRUE
"Not So Common Sense,Medicine","What branch of medicine is devoted to the diagnosis and therapy of immune-mediated disorders of the musculoskeletal system, soft tissues, autoimmune diseases, vasculitides, and heritable connective tissue disorders? It is considered to be the study and practice of medical immunology.",Rheumatology,,,
Not So Common Sense,"In space, around the earth, there are five points at which the gravity of the earth and the sun counteract each other, such that a satellite at this location can remain there indefinitely. What is the scientific name of these five points?",Lagrangian Point,TRUE,,
Geography,"The Challenger Deep of the Marianas Trench is the deepest natural point in the world, but, since the earth bulges at the equator, it is not the seabed point nearest to the earth's center. This point can be found at the bottom of what ocean?",Pacific Ocean,,TRUE,
Art & Literature,"What English playwright, whose works include ""Edward the Second"", ""The Massacre at Paris"", and ""Doctor Faustus"", was born the same year as, and had a great influence on, William Shakespeare? The exact circumstances of his death at age 29 remain unknown.",Chistopher Marlowe,,TRUE,
Science,"At the center of the Milky Way is a bright and very compact astronomical radio source. It is the location of a supermassive black hole, like those that are now generally accepted to be at the centers of most spiral and elliptical galaxies. What is the name of this location?",Saggittarius A,,TRUE,
History,During what decade in the 1800s was the first US transcontinental railway completed?,1860s,,,
History,Which islands were the subject of a war between Argentina and United Kingdom in the 1980s?,Falkland Islands,,,
History,"In 1607, what became the first permanent English settlement in North America?","Jamestown, Virginia",,,
History,What European capital was first dubbed the City of Light in the 19th century?,Paris,,,
History,What concert hall was opened in New York in 1891?,Carnegie Hall,,,
History,What ocean liner was retired in 1967 and became a hotel at Long Beach?,The Queen Mary,,,
History,Who sent the Spanish Armada to invade England?,Phillip II,,,
History,"The Iran–Contra affair, a political scandal that occurred during the second term of the Reagan Administration, involved the sale of weapons to Iran through Israel, with the money funneled to rebels fighting the socialist government of what nation?",Nicaragua,TRUE,,
Food & Beverage,"What kind of cheese is most commonly sold in the US as processed ""string cheese""?",Mozzarella,,,
Food & Beverage,"What is the main ingredient of the dish called ""baba ghanoush""?",Eggplant,,,
Food & Beverage,"What vegetable is most commonly added to yogurt to make Indian ""raita""?",Cucumber,,,
Food & Beverage,Sauerbraten is a specialty beef dish that originated in what country?,Germany,,,
Food & Beverage,"What are the primary ingredients of the dish ""Angels on Horseback""?",Oysters and Bacon,,,TRUE
Food & Beverage,What’s the Hungarian word for red pepper?,Paprika,,,
Food & Beverage,"What kind of wine takes its name from the Spanish town of Jerez, where it is made?",Sherry,,,
Food & Beverage,"What large North American beverage company has sought to diversify by purchasing craft brewers including 10 Barrel, Blue Point, Breckenridge, Devils Backbone, Elysian, Four Peaks, Golden Road, Karbach, and Wicked Weed?",Anheuser-Busch,TRUE,,
Not So Common Sense,Who Directed and starred in the American Classic Citizen Cane?,Orson Wells,,,
Not So Common Sense,What single initial is used for the real-life director of Britain's M16?,C,,,
Not So Common Sense,What do the letters S and A stand for in SAM missiles?,Surface to Air,,,
Not So Common Sense,"What country is credited with inventing the modern, self-igniting match?",France,,,
Not So Common Sense,How many laps must a driver survive to win the Indianapolis 500?,"200 laps, 500 miles",,,
Not So Common Sense,What is the name of the dog on the Cracker Jack box?,Bingo,,,
Not So Common Sense,What four colors are used in four-color process printing?,"Cyan, Magenta, Yellow, Black",,,TRUE
Not So Common Sense,Who was king of England at the time of the Gunpowder Plot?,King James I,TRUE,,
Geography,"Quezon City, also known as QC or Kyusi, is the most populous city and former capital of what nation? It is part of a metropolitan area that, along with the capital, includes over 24 million residents.",Phillipines,,TRUE,
Art & Literature,"""The Decameron"", a collection of novellas containing 100 tales told by a group of seven young women and three young men sheltering in a secluded villa just outside Florence to escape the Black Death, was written by what 14th-century Italian?",Giovanni Boccaccio,,TRUE,
"History,Exploration","In 1770, James Cook charted the east coast of Australia for Great Britain, but the continent's first known landing by a European came in 1606 by an explorer from what nation? At least 29 other explorers from this nation visited the continent in the 17th Century.",Dutch - Willem Jansz,,TRUE,
"History,Halloween",What popular fall festival activity did the Romans bring to Britain when they invaded?,Bobbing for Apples,,,
"History,Halloween",In what NA country was the first written account of children using the phrase “trick or treat” on Halloween?,Canada,,,
"History,Halloween",What were the original jack o’ lanterns made from?,Turnips,,,
"History,Halloween",In what country did carving jack o’ lanterns originate?,Ireland,,,
"History,Halloween",The round orange pumpkins that are used for most jack o’ lanterns today are native to what continent?,North America,,,
"History,Halloween","In It's the Great Pumpkin, Charlie Brown, which trick-or-treating character gets nothing but rocks?",Charlie Brown,,,
"History,Halloween",Who famously died on Halloween night?,Harry Houdini,,,
"History,Halloween",Who wrote The Legend of Sleepy Hollow?,Washington irving,,,
"History,Halloween","How many ""witches"" were burned at the stake in the Salem Witch Trials? 0, 6, 12",None - Hanged,,,
"History,Halloween","What Century did the tradition or ""trick or treating Originate? 15th, 16th, 17th?",16th - Women would use Halloween in hopes of finding a spouse.,,,
"History,Halloween",What is the name of the Celtic harvest festival that many people believe Halloween is based on?,SAH-win (SamHain),TRUE,,
"Food & Beverage,Halloween",How many children have been seriously injured or killed from poisoned candy given to them by strangers during Halloween?,zero,,,
"Food & Beverage,Halloween",What is the most popular halloween candy?,Chocolate - Reeses,,,
"Food & Beverage,Halloween",What candy is the SECOND most popular Halloween candy?,Candy Corn,,,
"Food & Beverage,Halloween","What Percentage of adults claim to eat their childrens Candy? 50%, 75%, 90%",~75%,,,
"Food & Beverage,Halloween",What was the first individually wrapped penny candy in the US.,Tootsie Roll,,,
"Food & Beverage,Halloween",How many colors of M&Ms are there in a normal bag?,"6 - red, orange, yellow, green, blue, and brown.",,,
"Food & Beverage,Halloween",What does it mean if you see a blue pumpkin while trick-or-treating?,Allergy Free Treats,,,
"Food & Beverage,Halloween","What do pumpkins grow on - stalks, trees, vines or bushes?",Vines,,,
"Food & Beverage,Halloween",True or false - White chocolate is real chocolate,False - WC does not contain Cocoa,,,
"Food & Beverage,Halloween","How is the ""mystery flavor"" of Dum Dums lollipops made? It is an overlap of two candy batches, It is a regular dumdum with a different wrapper, it is a random mix of leftover batches.",It is overlap from Batch A to Batch B,,,
"Food & Beverage,Halloween","IT TAKES LICKING MACHINES (YES, THEY’RE A REAL THING) ANYWHERE FROM _________ to _______ LICKS TO REACH THE CENTER OF A TOOTSIE POP.",364 TO 411,TRUE,,
"Not So Common Sense,Halloween","In what year will the next full moon occur during Halloween? 2020, 2025, 2030",2020,,,
"Not So Common Sense,Halloween",What item is banned only during Halloween from 12am October 31st to 12pm November 1st in Hollywood California?,Silly String,,,
"Not So Common Sense,Halloween","In the USA how many pieces of candy are most commonly handed out to trick-or-treaters? 1, 2, 3",2,,,
"Not So Common Sense,Halloween",In what Southern American state is it illegal to dress up like a priest or a nun?,Alabama,,,
"Not So Common Sense,Halloween",Where is Translyvania?,Romania,,,
"Not So Common Sense,Halloween","Which of the following is NOT a term for a scarecrow? Gallybagger, Mawkin, BWBach, Doodle Sack",Doddle Sack,,,
"Not So Common Sense,Halloween","If you want to keep spirits out of your home on Halloween, what should you sprinkle on your doorstep?",Salt,,,
"Not So Common Sense,Halloween","In It's the Great Pumpkin, Charlie Brown, who does Linus mistake for the Great Pumpkin?",Snoopy,,,
"Not So Common Sense,Halloween","What does the word ""Halloween"" mean?",Holy Night,,,
"Not So Common Sense,Halloween",What is Dr. Frankenstein's first name?,Victor,,,
"Not So Common Sense,Halloween",From base to point what is the order of colors on a piece of candy corn?,"Yellow, Orange, White",TRUE,,
History,"With a 2018 order for the printing of 364,800 notes, the US $50 bill is the least used currency still being pressed. Whose face appears on the front of the $50?",Uylsses S Grant,,,
History,"With 98% of the population voting in favor, South Sudan became the newest independent state on July 9th, 2011. What European nation, which officially declared its independence from Serbia in 2008, is the second newest country on earth?",Kosovo,,,
History,"Announced on March 13th of this year, and taking office on April 26th, what former U.S. House of Representatives member from Kansas's 4th district is the current U.S. Secretary of State?",Mike Pompeo,,,
History,"What civilization, the earliest known major civilization in Mexico, lived in the tropical lowlands of south-central Mexico, in the present-day states of Veracruz and Tabasco, and flourished during a period from 1500 BCE to about 400 BCE?",The Olmec,,,
History,The Battle of Bunker Hill occurred during what war?,American Revolution,,,
History,Following the Mexican War which other state did the US gain in addition to New Mexico and California,Texas,,,
History,Who was the only president of the Confederate States of America?,Jefferson Davis,,,
History,Checkpoint Charlie was the gate that divided the east and west portions of what city?,Berlin,,,
History,Which leader’s statue was pulled down from it’s place in red Square in 1991?,Lenin's,,,
History,Who painted the ceiling in the Sistine Chapel?,Michaelangelo,,,
History,Which two US states share a border with Rhode Island?,"Connecticut, Massachusetts",TRUE,,
Food & Beverage,What important property do cider apples have that most eating and cooking apples don’t?,High Sugar,,,
Food & Beverage,"When referring to fruits, what is a Texas Ruby Red?",Grapefruit,,,
Food & Beverage,"What is the flavor of those chewy, orange marshmallow peanuts?",Banana,,,
Food & Beverage,What’s the word Paprika mean in Hungarian?,Red Pepper,,,
Food & Beverage,What tea is used typically used to make a London Fog?,Earl Grey Tea,,,
Food & Beverage,What is the most commonly eaten fruit in the world?,Mango,,,
Food & Beverage,"If 'single malt' describes a whisky made at one distillery, what is the word for a wine that is made from a single grape type?",Varietal,,,
Food & Beverage,"Traditionally, the term ""caviar"" refers to the salt-cured roe of which fish?",Sturgeon,,,
Food & Beverage,What preparation involves drizzling food with liquor and briefly setting it on fire?,Flambe,,,
Food & Beverage,most wasabi is not real wasabi at all but actually colored what?,Horseraddish,,,
Food & Beverage,"Corned beef gained popularity during World War I and World War II when fresh meat was rationed. What ingredient in the preparation of corned beef gives it the name ""corned""?",large-grained rock salt,TRUE,,
Not So Common Sense,How many english words rhyme with purple?,zero,,,
Not So Common Sense,"What are described by the terms rep, challis and foulard?",Neckties,,,
Not So Common Sense,"In pool, what color is the 6-ball?",Green,,,
Not So Common Sense,What does VHS stand for?,Video Home System,,,
Not So Common Sense,"Of the 88 keys on a piano, how many are black? 26, 36, 46",36,,,
Not So Common Sense,"What four letters are directly to the right of ""Q"" on a standard keyboard?",WERT,,,
Not So Common Sense,"What is the American term for the rope maneuver called ""abseiling"" in Europe?",Rapelling,,,
Not So Common Sense,What two pieces are moved in chess's castling maneuver?,Rook and King,,,
Not So Common Sense,"In Poker, five cards of the same suit is called a what?",Flush,,,
Not So Common Sense,How is Barbara Millicent Roberts better known as?,Barbie,,,
Not So Common Sense,What does a spermologer collect?,Trivia,TRUE,,
History,"In May 23, 1934, after a dozen-or-so bank robberies, many more robberies at small stores or rural gas stations, and the murder of at least nine police officers and several civilians (by their gang), Bonnie and Clyde were ambushed and killed in what state?",Louisiana,,,
History,"There are more than 1,000 active casinos in the United States, with nearly one-third of them located in Nevada. What state, with 134 casinos, has the second most?","OK, CA, CO",,,
History,"What Roman author and naval commander died while attempting to rescue a friend and his family, by ship, from the August 25, AD 79 eruption of Mount Vesuvius? He was survived by his nephew, also a famous author.",Pliny the Elder,,,
History,"Who was shot dead by the FBI after leaving the Biograph Theater on July, 22, 1934?",John Dillinger,,,
History,Who was the first woman to be appointed a US Supreme Court Justice?,Sandra Day O'Connor,,,
History,Who became the first American in space in 1961?,Alan Shepard,,,
History,What is the name of the first nuclear-powered submarine? it was the first submarine to complete a submerged transit of the North Pole on 3 August 1958.?,USS Nautilus,,,
History,"What was the name of the tanker that ran aground in Prince William Sound, Alaska, on March 24, 1989?",Exxon Valdez,,,
History,What is the name of the fabled city of gold that some 16th century Europeans believed existed in South America?,El Dorado,,,
History,The Camp David Accord negotiated peace between which two countries?,Egypt and Israel,,,
History,"Who proposed the idea of ""Laissez-faire"" in his 1776 novel the Wealth of Nations?",Adam Smith,TRUE,,
Food & Beverage,"What kind of sausage would more authentically be called ""mortadella"" in its namesake city?",Bologne,,,
Food & Beverage,What kind of fruit juice is used to mix a Polish Martini?,Apple,,,
Food & Beverage,Which country did bagels originate from?,Poland,,,
Food & Beverage,Manzanilla is a variety of what alcoholic drink?,Sherry,,,
Food & Beverage,What is Hershey's most popular product?,Reeses Peanut Butter Cup,,,
Food & Beverage,Bananas Foster originated in what city?,New Orleans,,,
Food & Beverage,"What citrus beverage has used the ad slogan ""Open a Bottle of Sunshine""?",Sunny Delight,,,
Food & Beverage,At what popular Seattle market did Starbucks open its first store in 1971?,Pike Place Market,,,
Food & Beverage,What is a Vatted Malt Whiskey?,Blend of single malt whiskeys,,,
Food & Beverage,"What ingredient gives Cajun ""dirty rice"" its dark color?",Chicken liver or Giblets,,,
Food & Beverage,"Normally the fruit (""cherry"") of a coffee plant contains two seeds (""beans""), but sometimes only one of the two seeds is fertilized, and the single seed develops. What is the name of a single-seed coffee cherry bean?",Pea berry,TRUE,,
Not So Common Sense,"In ancient Japan, all people who gave massages had to be what?",Blind,,,
Not So Common Sense,"What animal is said to have nurtured the founders of Rome, Romulus and Remus?",Wolf,,,
Not So Common Sense,"By US law, exit signs in buildings must be one of what two colors?",Red or Green,,,
Not So Common Sense,"What sport's lingo uses the term ""Peloton""?",Cycling,,,
Not So Common Sense,What structure in Paris was erected to celebrate the anniversary of the French Revolution in 1889?,Eiffel Tower,,,
Not So Common Sense,"On a standard color wheel, what color is opposite blue?",Orange,,,
Not So Common Sense,What's the opposite of the Orient?,The Occident (west),,,
Not So Common Sense,"In the game of Battleship, how many hits does it take to sink the submarine?",3,,,
Not So Common Sense,"An ""omniscient"" person has unlimited what?",Knowledge,,,
Not So Common Sense,What is the Binet-Simon (Stanford-Binet) Scale used to measure?,Intelligence,,,
Not So Common Sense,What appears with the king of diamonds on a standard English deck of cards? ,An Axe,TRUE,,
History,"What religious leader returned to his home country in 1979, after living in France for years while exiled?",The Ayatollah Khomeini,,,
"History,Presidents",What US President died of pneumonia a month after taking office?  The pneumonia is believed to be a result of him delivering the longest inagural address w/o hat gloves or overcoat.,"William Henry Harrison, 9th",,,
History,Which British Sailor and Explorer was killed by Hawaiian natives in 1779?,James Cook,,,
"History,Olympics",Which country hosted the first Winter Olympic Games after World War II?,Switzerland,,,
History,What was the nickname of WWI figure Manfred von Richtofen?,Red Baron,,,
History,What wonder of the ancient world was destroyed by arson the same night Alexander the Great was born? Second time being destroyed,"The Temple of Artemis at Ephesus, Temple of Diana",,,
History,Who invented blue jeans in 1872?,Levi Strauss,,,
History,What sporting event first took place in 1903?,Tour de France,,,
History,What line divided the North and South in the U.S. Civil War?,Mason-Dixon Line,,,
History,What was the Boulder Dam renamed to in 1947?,Hoover Dam,,,
History,What city was the first American college located in?,Cambridge,TRUE,,
Food & Beverage,"How many ""herbs and spices"" does KFC claim to have in their ""secret recipe""?",11,,,
Food & Beverage,Grits are typically made from what grain?,corn,,,
Food & Beverage,Shechita is the method of producing meat that is what?,kosher,,,
Food & Beverage,What is the minimum age for scotch whisky before it can be sold in the UK? 3 5 7 ,3 yrs,,,
Food & Beverage,What's the common household name for diluted acetic acid?,vinegar,,,
Food & Beverage,What are the two main ingredients of mayonnaise?,oil and egg yolk,,,
Food & Beverage,"What do the letters A and W stand for in the ""A&W"" root beer name?",Allen and Wright,,,TRUE
Food & Beverage,In which US state is it illegial to eat an orange in a bathtub?,California,,,
Food & Beverage,What citrus ­flavored soft drink was introduced by Coca-Cola in 1979 to compete with Pepsi's Mountain Dew?,Mello Yello,,,
Food & Beverage,What ingredient must French vanilla ice cream have in it to distinguish it from regular vanilla?,eggs,,,
Food & Beverage,What meat is a Wiener Schnitzel traditionally made from?,veal,TRUE,,
Not So Common Sense,"Where are US coins with a ""D"" mark minted?",Denver,,,
Not So Common Sense,What color moves first in checkers?,Black,,,
Not So Common Sense,What word is used as the international radio distress call?,Mayday,,,
Not So Common Sense,In which sport is the America's Cup awarded?,Sailboat racing,,,
Not So Common Sense,The koala eats the leaves from this tree?,Eucalyptus,,,
"Not So Common Sense,Medicine","Graves' disease, also known as toxic diffuse goiter, is an autoimmune disease that affects what endocrine gland? Treatment options are radioiodine therapy, medications, and surgery.",thyroid,,,
Not So Common Sense,What does the Mohs scale measure?,Mineral hardness,,,
Not So Common Sense,Which cluster of stars is also known as the Seven Sisters?,The Pleiades,,,
"Not So Common Sense,Medicine",The MMR vaccine immunizes against what three illnesses?,"Measles, mumps, rubella",,,
Not So Common Sense,What is an erythrocyte?,red blood cells,,,
Not So Common Sense,BONUS: How many main islands make up the state of Hawaii?,8,TRUE,,
History,What was the name of the naturalist thas sailed aboard the HMS Beagle during a voyage to South America and around the world?,Charles Darwin,,,
History,"In June 622, after being warned of a plot to assassinate him, Muhammad secretly left his home in Mecca to emigrate to Yathrib, 220 miles to the north. He soon renamed the city to what, in Arabic, literally translates to ""city"". To what did he rename this Yathrib?",Medina,,,
History,What was the last Apollo mission to the moon?,Apollo 17 1972,,,
History,The Department of Homeland Security was created by the U.S. Federal Government following what event?,"Sept. 11, 2001 attacks",,,
History,What age preceded the Iron Age? what before that?,"Bronze age, Stone age",,,
History,What culture was the first to write and is credited with the invention writing?,Sumerians - 1900 -4500 AD Southern Iraq,,,
History,During what war was the construction of the Pentagon completed?,WWII,,,
History,Which amendment to the US Constitution deals with women's suffrage?,19th,,,
History,"In the last leg of the 1973 Triple Crown, what horse won the Belmont Stakes by 31 lengths, breaking the track record by more than 2 seconds and setting a time that has yet to be beaten?",Secritariat,,,
History,How many amendments to the US Constitution are there?,27,,,
History,In which state is the underground military bunker at Cheyenne Mountain? It was created in 1967 by NORAD.,"CO, Colorado Springs",TRUE,,
Food & Beverage,"Which Bohemian city gave us the Pilsner? A. Frankfurt, Munich, Pilsen",Pilsen,,,
Food & Beverage,Mead is made primarily from what?,Honey,,,
Food & Beverage,What is a the name for fortified wine flavoured with botanicals?,vermouth,,,
Food & Beverage,What candy did Elliot use to lay a trail to entice E.T. into his house in the movie E.T.?,Resses Pieces,,,
Food & Beverage,"What style of beer is used to make a ""Black Velvet"" cocktail?",Stout,,,
Food & Beverage,What beverage was the first American consumer product made widely available in the USSR?,Pepsi-Cola,,,
Food & Beverage,"What beer is known as the ""champagne of beers""?",Miller High Life,,,
Food & Beverage,Lachanophobia is the fear of what food group?,Vegetables ,,,
Food & Beverage,The alligator pear is another name for what kind of fruit?,Avocado,,,
Food & Beverage,A pipe or butt barrel contains 126 gallons of what beverage?,wine,,,
Food & Beverage,Citrus Trees begin to bud and grow fruit during what season?,winter,TRUE,,
Not So Common Sense,What does NATO stand for?,North Atlantic Treaty Organization,,,
Not So Common Sense,The first atomic bomb test split an atom of what fissionable element?,Plutonium,,,
"Not So Common Sense,Christmas",London's Trafalgar Square Christmas tree is traditionally given by which country?,Norway,,,
Not So Common Sense,What does blitzkrieg mean?,Lightning war,,,
Not So Common Sense,What machine was Isaac Singer granted a patent for in 1851?,Sewing Machine,,,
Not So Common Sense,The Parthenon in Greece was dedicated to which Greek Goddess?,Athena,,,
Not So Common Sense,What color is the smoke announcing the election of a new pope?,white,,,
Not So Common Sense,The Pritzker Prize is an award given in what field?,Architecture,,,
Not So Common Sense,Which fruit can restore your health in Donkey Kong 64?,Watermelon,,,
Not So Common Sense,What is water that is safe to drink referred to as?,Potable ,,,
Not So Common Sense,How long is a fortnight?,14 days,TRUE,,
History,"What US city, the 11th largest in the country, saw its Independent Business Alliance create a city slogan suggesting that people ""Keep it Weird"" in order to promote small businesses?","Austin, TX",,,
History,"Clovis was the first king to unite all of the tribes of what region under a single ruler? His unification ensured that the kingship was passed down to his heirs, and he is considered ""the first king of what would become"" the country that is the answer to this question.",France - 500 AD,,,
History,"A late 20th century ethnic and nationalist conflict, locally known as ""The Troubles"", took place in what country? The conflict began in the late 1960s and is usually deemed to have ended with the Good Friday Agreement of 1998.",Ireland,,,
History,"What American, a pioneer in the field of investigative journalism, is best known for an exposé in which she worked undercover to report on a mental institution (1887) and for her record-breaking trip around the world in 72 days, then a record, in emulation of Phileas Fogg (1889)?",Nellie Bly - Elizabeth Cochrane Seaman,,,
"History,Presidents","Which U.S. president made the first presidential radio broadcast?	",Calvin Coolidge,,,
History,"What three countries were part of the Axis powers in World War II?	","Germany, Italy Japan",,,
"History,Exploration",Who led the first expedition to sail around the world?,Ferdinand Magellan,,,
History,Which wild animal was reintroduced into Yellowstone National Park in the mid-1990s?,Wolf,,,
History,What is the name of the slab that became the key for deciphering ancient Egyptian hieroglyphics?,The Rosetta Stone,,,
History,Which British liner did a German U-boat sink on May 7th 1915?,RMS Lusitania,,,
"History,Presidents",Name 3 of the 4 US presidents to win The Nobel Peace Prize,"Teddy Roosevelt, Wilson, Carter, Obama",TRUE,,
Food & Beverage,"What cocktail would you be making if you mixed vodka, triple sec, cranberry juice, and freshly squeezed lime juice.",Cosmo,,,
